"row"	"Species"	"genus"	"family"	"order"	"group"	"Growth.form"	"P50"	"HSM"	"MinWP_md"	"MinWP_pd"	"PItlp"	"Ks"	"Kl"	"Hv"	"WUE"	"SLA"	"Aarea"	"Amass"	"LL"	"pLL"	"WD"	"N"	"Narea"	"Hmax"	"Rd"	"lat_mean"	"long_mean"	"MAT_mean"	"MAP_mean"	"biome"
"1"	"Abarema jupunba"	"Abarema"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	NA	NA	NA	NA	-1.595426667	NA	NA	NA	-29.9537798169231	13.0561952002301	NA	NA	NA	NA	0.580114285714286	27.2449435454545	0.208674450156615	45	NA	-1.5682570731757	-63.9739388240266	24.9686363636364	2534.76103896104	"Tropical forest savanna"
"2"	"Abarema mataybifolia"	"Abarema"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	0.938463231622463	-30.13179932	12.8928912154671	NA	NA	NA	NA	0.596985584595999	35.9962999999999	0.279194940827676	28	NA	0.46528093124356	-54.3749934483073	26.328125	2359.66666666667	"Tropical forest savanna"
"3"	"Abies alba"	"Abies"	"Pinaceae"	"Pinales"	"Gymnosperms"	"W"	-3.76516666666667	-0.23483333333333	-4	NA	-2	1.299505	NA	0.588012	-27.66	5.76881378481822	5.34475249185127	0.028748957515633	98.0618610477906	519.868421052632	0.505118212355352	13.2675329452232	0.229987193903526	68	NA	53.6631479218694	9.14074501023687	7.20190080563948	899.413897280967	"Temperate forest"
"4"	"Abies balsamea"	"Abies"	"Pinaceae"	"Pinales"	"Gymnosperms"	"W"	-2.3114818046	NA	NA	NA	NA	1.46126362857143	0.0002662	26.6	NA	4.28	NA	NA	NA	200	0.437589324	15.8114714923288	0.369426904026374	30	0.508	47.9286870829378	-68.8679855781558	3.74234567901235	973.064814814815	"Temperate forest"
"5"	"Abies concolor"	"Abies"	"Pinaceae"	"Pinales"	"Gymnosperms"	"W"	-5.033328	1.750508	-3.28282	-1.96416	NA	0.8768685	NA	NA	NA	3.79004827586207	NA	NA	NA	320	0.398568	12.7018333333333	0.335136452330391	60	1.016	45.4249290456618	-60.1084035332533	8.18235294117647	736.772058823529	"Mediterranean"
"6"	"Abies grandis"	"Abies"	"Pinaceae"	"Pinales"	"Gymnosperms"	"W"	-3.6511666665	1.1511666665	-2.5	NA	-2.4	NA	NA	NA	NA	NA	NA	NA	36	297.142857142857	0.45419926	14.8	NA	100	1.5	48.5609431618148	-18.1515540591544	8.79078125	876.31875	"Mediterranean"
"7"	"Abies lasiocarpa"	"Abies"	"Pinaceae"	"Pinales"	"Gymnosperms"	"W"	-3.52741625	2.02741625	-1.5	NA	NA	0.287227	6.28e-05	3.34533	-25.9	3.94765809060841	4.388727891	0.015927053632	96	262.5	0.343305133071429	13.9657659574468	0.353773443314956	52	1.016	48.8417537763514	-106.706565124341	2.47878540305011	886.245098039216	"Temperate forest"
"8"	"Abies nordmanniana"	"Abies"	"Pinaceae"	"Pinales"	"Gymnosperms"	"W"	-4	NA	NA	NA	NA	0.6	NA	NA	NA	NA	NA	NA	NA	466.666666666667	0.410371006	NA	NA	70	NA	49.368144128734	11.6979018034646	8.41109785202864	785.303102625298	"Mediterranean"
"9"	"Abies pinsapo"	"Abies"	"Pinaceae"	"Pinales"	"Gymnosperms"	"W"	-4.1503333335	1.3503333335	-2.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	275	0.458650760666667	NA	NA	60	NA	38.8243456815967	2.78598075581771	11.8062198067633	814.942028985507	"Mediterranean"
"10"	"Acacia aneura"	"Acacia"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	9.1500000034969	NA	3.25906235349273	NA	NA	NA	NA	0.9770338	17.4338353705882	0.534934084703976	15	NA	-27.4511701774701	133.943896581379	20.5993359375	256.26328125	"Desert"
"11"	"Acacia berlandieri"	"Acacia"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	NA	NA	-6.71991	-5.80326	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.2524024755782	-99.6576696708358	20.181461352657	623.840579710145	"Tropical forest savanna"
"12"	"Acacia colletioides"	"Acacia"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	50.7061585552995	NA	2.6601729717196	8.47192669101188	0.0256645439138443	37.3595872752863	NA	0.85	19.7551251964639	0.742625588880173	20	NA	-32.0652763208889	135.060085875702	17.8757828810021	300.926931106472	"Desert"
"13"	"Acacia crassicarpa"	"Acacia"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	NA	NA	-0.88	-0.19	NA	8.65	0.00051442	0.558771727	NA	12.66961446	NA	NA	NA	NA	0.573635381	NA	NA	20	NA	-14.7545266258051	142.355089275481	24.9448033707865	1630.75280898876	"Tropical forest savanna"
"14"	"Acacia dealbata"	"Acacia"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	NA	NA	-1.37	-0.61	NA	2.695	0.00017819	3.14132898485604	NA	11.66058497	NA	NA	NA	120	0.577749822166667	NA	NA	10	NA	-3.25279480223482	74.192059619731	13.3263822115385	919.605769230769	"Mediterranean"
"15"	"Acacia doratoxylon"	"Acacia"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	2.51000000160014	NA	4.23950346164258	14.5124688537297	0.0672918787695991	19.8014521877585	NA	0.787815	20.2787804121552	0.478329139146363	12	NA	-32.7495622786244	147.26223347252	16.4746500437445	602.165354330709	"Mediterranean"
"16"	"Acacia etbaica"	"Acacia"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	NA	NA	-4.8072	-2.3913	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.23214620706321	42.8571544797619	20.4222222222222	612.703703703704	"Tropical forest savanna"
"17"	"Acacia flavescens"	"Acacia"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	NA	NA	-2.28	-1.21	NA	7.58	0.000836644	1.215551975	NA	7.356556785	NA	NA	NA	NA	0.7	NA	NA	20	NA	-19.2482342062294	146.942256909852	22.8224499089253	1428.8087431694	"Tropical forest savanna"
"18"	"Acacia floribunda"	"Acacia"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	1.09999999959924	NA	7.7771913186616	10.9982559807159	0.10674101526188	13.4317144414051	NA	NA	22.0892179537513	0.284025646903498	10	NA	-32.5270375742857	148.443279540576	15.6561613475177	1112.76861702128	"Mediterranean"
"19"	"Acacia greggii"	"Acacia"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	NA	NA	NA	NA	-4.25	NA	NA	NA	NA	NA	NA	NA	NA	120	NA	NA	NA	13.716	0.3048	32.1131394618437	-112.364786759612	19.0763982102908	246.885906040268	"Desert"
"20"	"Acacia havilandiorum"	"Acacia"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	NA	NA	-4.25	-3.66	NA	0.86	0.000555792	25.3004665899171	NA	3.44867856468338	12.0001071730871	0.030758452162568	21.0016333885709	NA	0.91	14.9165215471476	0.432528612550387	28	NA	-32.3186854250141	144.395471463579	17.3864646464646	431.060606060606	"Desert"
"21"	"Acacia holosericea"	"Acacia"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	NA	NA	-1.322	-0.461	NA	4.1	0.000586967	1.13544024	NA	4.89354225	NA	NA	NA	NA	0.663035	19.48	0.398075647553671	5	NA	-16.6822485807006	136.119743996787	25.8297150356205	930.681664791901	"Tropical forest savanna"
"22"	"Acacia leptostachya"	"Acacia"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	NA	NA	-2.23	-0.33	NA	0.28	8.39e-05	2.395006863	NA	5.556155909	NA	NA	NA	NA	0.71	NA	NA	1.5	NA	-20.5853514797483	145.590926071379	22.6735858585859	847.454545454545	"Tropical forest savanna"
"23"	"Acacia mangium"	"Acacia"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	NA	NA	-0.97	-0.27	NA	3.48	0.000521054	1.221490213	NA	10.432673002	20.7075	NA	NA	NA	0.4788372279	23.5666666666667	0.225892891132971	30	NA	-7.52354798781594	58.2454834396558	24.4963541666667	2033.15909090909	"Tropical forest savanna"
"24"	"Acacia mearnsii"	"Acacia"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	4.13416666668413	NA	NA	NA	NA	NA	50	0.63477607425	23.6	NA	15	NA	-24.1773547886782	101.914008871694	14.7129264132554	958.71783625731	"Mediterranean"
"25"	"Acacia myrtifolia"	"Acacia"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	9.489999990663	NA	NA	NA	NA	NA	50	NA	NA	NA	1	NA	-35.2338337139361	140.608991079623	15.0599246231156	883.105527638191	"Mediterranean"
"26"	"Acacia parvipinnula"	"Acacia"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	NA	NA	-1.72	-1.21	NA	0.91	0.000116555	0.916862376	NA	17.66107618	NA	NA	NA	NA	0.602	NA	NA	6	NA	-33.3341255934128	150.662715657677	15.7610317460317	949.971428571429	"Mediterranean"
"27"	"Acacia senegal"	"Acacia"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	NA	NA	-3.29998	-1.99584	NA	NA	NA	NA	NA	23.1664158808661	10.2051960228189	0.459087328359499	NA	NA	NA	42.8296234692947	0.18487807388742	13	NA	2.4327341797698	26.667681461024	24.125953815261	705.921686746988	"Tropical forest savanna"
"28"	"Acacia seyal"	"Acacia"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	NA	NA	-3.18644	-2.67633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.68	NA	20	NA	7.60457868920263	13.8578532474799	24.9394389438944	832.990099009901	"Tropical forest savanna"
"29"	"Acacia suaveolens"	"Acacia"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	7.11999999413254	NA	4.85966363967158	9.59306643010718	0.0466822470643599	29.4601940674631	60	NA	20.1012518928754	0.413634633656124	2.5	NA	-34.5755514995832	148.998174406325	15.4740329218107	1085.13333333333	"Mediterranean"
"30"	"Acacia terminalis"	"Acacia"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	NA	NA	-1.26	-0.42	NA	0.43	4.71e-05	1.293713568	NA	6.862137082	NA	NA	NA	50	0.54	NA	NA	4.5	NA	-35.2347169510059	148.782013326455	14.4589595375723	1007.3323699422	"Mediterranean"
"31"	"Acacia tortilis"	"Acacia"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	NA	NA	-4.30964	-2.89873	NA	NA	NA	NA	NA	26.7561471533951	5.58828950303119	0.367051000710089	NA	NA	NA	29.9430614030858	0.111910960989338	21	NA	10.7596190749652	33.5048188271765	22.4644230769231	396.038461538462	"Desert"
"32"	"Acacia wilhelmiana"	"Acacia"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	32.9000000037897	NA	5.64537863474211	8.15452808082049	0.0526179330124887	12.0858197886825	NA	NA	20.7701250676938	0.367913764718504	18	NA	-33.6976997776727	140.947717887739	16.867416378316	331.622837370242	"Desert"
"33"	"Acacia xanthophloea"	"Acacia"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	NA	NA	-2.80286	-2.20383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.75768	NA	NA	25	NA	-17.243747770119	32.9250111046302	20.8569791666667	809.3375	"Tropical forest savanna"
"34"	"Acer campestre"	"Acer"	"Sapindaceae"	"Sapindales"	"Angiosperms"	"W"	-3.019	NA	NA	NA	-1.9	0.43	NA	NA	-28.5533333333333	15.2370178340025	9.52496293010718	0.1	6.08865000620494	148.25	0.627403972916667	19.2583333333333	0.126391748983564	25	0.04	49.84878170393	5.17386391295283	9.55202106461714	749.711357813834	"Mediterranean"
"35"	"Acer glabrum"	"Acer"	"Sapindaceae"	"Sapindales"	"Angiosperms"	"W"	-2.3	NA	NA	NA	NA	1.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.2	0.6096	43.5685676860346	-116.217254182169	5.65301681503462	782.231454005935	"Temperate forest"
"36"	"Acer monspessulanum"	"Acer"	"Sapindaceae"	"Sapindales"	"Angiosperms"	"W"	-3.87125	-1.62875	-5.5	-4.55	-2.2	0.534947645333333	0.000146867	2.936931653	-26.7	13.5083351833333	10.1600917965591	0.145289312690795	5.72054794520548	NA	0.82870317125	18.6879875	0.138344120473538	18	NA	42.4394485818932	3.43836820745624	11.3215194474736	748.346782988004	"Mediterranean"
"37"	"Acer negundo"	"Acer"	"Sapindaceae"	"Sapindales"	"Angiosperms"	"W"	-1.53443328571429	0.41443328571429	-1.12	-0.33	NA	4.68996428571429	0.00078	1.24	-27.35	23.1840597640642	NA	NA	NA	87.0588235294118	0.5768	26.45	0.114087007492096	30	1.016	40.1213399624542	-38.4714329191505	10.8673821252639	797.947923997185	"Mediterranean"
"38"	"Acer opalus"	"Acer"	"Sapindaceae"	"Sapindales"	"Angiosperms"	"W"	-3.4225	NA	NA	NA	NA	0.18	NA	NA	NA	16.2868929750118	7.43	0.133916771715416	NA	NA	0.709779696454545	32.7	0.200774942465515	20	NA	43.669636500261	3.64954844476375	9.6716835016835	894.965656565657	"Mediterranean"
"39"	"Acer platanoides"	"Acer"	"Sapindaceae"	"Sapindales"	"Angiosperms"	"W"	-2.9905	NA	NA	NA	NA	0.45	NA	NA	NA	17.9678056816849	6.24666666666667	0.100506041480811	6.01279793037179	239.827586206897	0.5329309342	20.5083333333333	0.114139331739535	35	1.016	54.3663557744723	2.85431878857814	7.15784500253678	775.087519025875	"Mediterranean"
"40"	"Acer pseudoplatanus"	"Acer"	"Sapindaceae"	"Sapindales"	"Angiosperms"	"W"	-1.97366666666667	NA	NA	NA	-1.4	0.38	NA	NA	NA	14.4424594993489	4.38257916120083	0.0775323558314346	6.01279793037179	447.65625	0.528221516933405	24.615536149763	0.170438671826448	40	1.2192	51.8189228500134	8.31365257776028	7.86227144866385	1113.14767932489	"Temperate forest"
"41"	"Acer rubrum"	"Acer"	"Sapindaceae"	"Sapindales"	"Angiosperms"	"W"	-3.19	1.64	-1.55	-0.121	-1.52	5.8	0.00045	1.21	-30.4	18.9787680349405	7.54006538323481	0.106705029344303	5.6813989651859	150	0.723333333333333	17.7519254639175	0.0935357101748418	38.1	0.762	40.0281509121655	-76.2056867974976	10.5407099936749	1137.54838709677	"Temperate forest"
"42"	"Acer saccharinum"	"Acer"	"Sapindaceae"	"Sapindales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	4.7	0.00055	1.7	NA	19.9760983904875	NA	NA	NA	128.333333333333	0.77	23.66667	0.11847493708416	40	0.8128	44.2613322984172	-48.7344187204787	9.82566828675577	863.130012150668	"Mediterranean"
"43"	"Acer saccharum"	"Acer"	"Sapindaceae"	"Sapindales"	"Angiosperms"	"W"	-3.19046153846154	-0.959538461538461	-4.15	-3.72	-1.6	3.89333333333333	0.0004145	1.135	-26.03	26.3003958953657	8.40316666666667	0.127105975960096	5.5	360	0.826	19.5840538387736	0.074462962142043	41	1.016	41.6196777986831	-77.5027986024452	8.60814266487214	1055.02960969044	"Temperate forest"
"44"	"Acinodendron pohlianum"	"Acinodendron"	"Melastomataceae"	"Myrtales"	"Angiosperms"	"W"	-3.1	1.68	-1.42	-0.44	-1.75	4.73	0.001092	2.895	NA	5.42888165019001	NA	NA	NA	NA	0.53	NA	NA	NA	NA	-15.9333	-47.8833	20.2	1675	"Tropical forest savanna"
"45"	"Acmopyle pancheri"	"Acmopyle"	"Podocarpaceae"	"Pinales"	"Gymnosperms"	"W"	-3.3795	2.2495	-1.13	NA	NA	0.33	6.6e-05	2.02	NA	NA	NA	NA	NA	NA	0.596737687	NA	NA	20	NA	-17.2587697007271	157.995631662498	20.3631578947368	1616.89473684211	"Tropical forest savanna"
"46"	"Acosmium cardenasii"	"Acosmium"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	-6.2	2.9	-3.3	NA	NA	1.1754	0.000216	0.187	NA	17.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	-16.4388866170317	-60.233327087169	24.7302777777778	1318.23333333333	"Tropical forest savanna"
"47"	"Acronychia pedunculata"	"Acronychia"	"Rutaceae"	"Sapindales"	"Angiosperms"	"W"	-1.86	NA	NA	NA	-1.707	1.219409972	0.000165556	1.347711982	NA	11.1259114366268	NA	NA	NA	NA	0.48009472275	22.0675	0.198343300912437	15	NA	16.2052885272051	111.015597833098	22.9641393442623	2028.1393442623	"Tropical forest savanna"
"48"	"Actinostemon klotzschii"	"Actinostemon"	"Euphorbiaceae"	"Malpighiales"	"Angiosperms"	"W"	NA	NA	-3.3	NA	NA	0.5526	0.000126	0.221	NA	26.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	-18.7065195855379	-45.8170219874926	22.3507407407407	1363.61111111111	"Tropical forest savanna"
"49"	"Actinostrobus acuminatus"	"Actinostrobus"	"Cupressaceae"	"Pinales"	"Gymnosperms"	"W"	-14.1	8.87	-5.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-31.2146449633943	115.588399254139	17.9714646464646	674.424242424242	"Tropical forest savanna"
"50"	"Actinostrobus arenarius"	"Actinostrobus"	"Cupressaceae"	"Pinales"	"Gymnosperms"	"W"	-10.6605	3.7272	-6.9333	-5.85	-2.22	0.609739846	0.000440627	7.226468251	NA	1.7842	NA	NA	NA	NA	0.9047723815	NA	NA	5	NA	-30.174381160544	116.188287051979	18.6242283950617	454.555555555556	"Desert"
"51"	"Actinostrobus pyramidalis"	"Actinostrobus"	"Cupressaceae"	"Pinales"	"Gymnosperms"	"W"	-10.72575	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-32.2941162021047	118.848054801442	17.0285130718954	592.509803921569	"Mediterranean"
"52"	"Adansonia za"	"Adansonia"	"Malvaceae"	"Malvales"	"Angiosperms"	"W"	-1.7	0.729	-0.971	-0.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.38	NA	NA	40	NA	-21.0694424140862	45.8611228903954	24.2771052631579	989.736842105263	"Tropical forest savanna"
"53"	"Adenocalymma axillarum"	"Adenocalymma"	"Bignoniaceae"	"Lamiales"	"Angiosperms"	"W"	NA	NA	NA	NA	-3.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-15.5833310168561	-50.5833265838947	23.669696969697	1594.09090909091	"Tropical forest savanna"
"54"	"Adenocalymma inundatum"	"Adenocalymma"	"Bignoniaceae"	"Lamiales"	"Angiosperms"	"nW"	NA	NA	NA	NA	NA	2.5	NA	NA	NA	NA	NA	NA	NA	NA	0.57	NA	NA	NA	NA	12.3764918699132	-85.9300546178008	25.3238789237668	1627.32286995516	"Tropical forest savanna"
"55"	"Adenostoma fasciculatum"	"Adenostoma"	"Rosaceae"	"Rosales"	"Angiosperms"	"W"	-7.70315793975	-0.0968420602500002	-7.8	NA	NA	0.81	0.0013	NA	NA	4.638324954168	14.0445295283935	0.0490343347760525	18.0985042930499	NA	0.75366	10.1117393655481	0.21800411712124	4	0.2032	36.0271194359948	-119.902235671705	14.172629740519	615.323353293413	"Mediterranean"
"56"	"Adenostoma sparsifolium"	"Adenostoma"	"Rosaceae"	"Rosales"	"Angiosperms"	"W"	-4.610991675	0.110991675	-4.5	NA	NA	1.64	NA	NA	NA	11.43	NA	NA	NA	NA	0.634766666666667	NA	NA	NA	NA	33.5221137210271	-114.433670049922	15.1117346938776	444.938775510204	"Desert"
"57"	"Adesmia boronioides"	"Adesmia"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	-4.42	0.93	-3.49	-1.76	-2.86	0.28	0.00042	12.5	NA	4.2415	NA	NA	NA	NA	0.68	NA	NA	1.5	NA	-44.7614934581347	-70.9913736252425	7.29568965517241	542.310344827586	"Mediterranean"
"58"	"Adiantum petiolatum"	"Adiantum"	"Pteridaceae"	"Polypodiales"	"Pteridophytes"	"nW"	-0.73	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.75279984980916	-74.4748267113345	24.9144295302013	2377.98993288591	"Tropical forest savanna"
"59"	"Aegiceras corniculatum"	"Aegiceras"	"Primulaceae"	"Ericales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	8.29000000539626	NA	NA	NA	NA	NA	60	0.51	13.3471428571429	NA	1	NA	-14.3291912826221	138.512795589008	23.9370943952802	1585.83849557522	"Tropical forest savanna"
"60"	"Aegiphila lhotzkiana"	"Aegiphila"	"Lamiaceae"	"Lamiales"	"Angiosperms"	"W"	NA	NA	-1.04	-0.45	-1.25	6.17	0.000846	1.5	NA	10.4602510480125	NA	NA	NA	NA	0.49	NA	NA	NA	NA	-15.3611087830443	-44.4517473167474	21.7970238095238	1173.26785714286	"Tropical forest savanna"
"61"	"Aegiphila sellowiana"	"Aegiphila"	"Lamiaceae"	"Lamiales"	"Angiosperms"	"W"	-1.7	0.37	-1.33	-0.76	-1.24333333333333	13.78	0.001683	1.26	NA	12.7877237875831	NA	NA	NA	NA	0.41	28.0333333333333	0.219220666625234	NA	NA	-20.0283150674471	-46.4134234538013	20.822385620915	1491.07843137255	"Tropical forest savanna"
"62"	"Agathis australis"	"Agathis"	"Araucariaceae"	"Pinales"	"Gymnosperms"	"W"	-2.58	NA	NA	NA	NA	0.91	NA	NA	NA	NA	NA	NA	NA	NA	0.522	7.35	NA	45.2	NA	-34.6456508515993	164.890597697147	14.1777777777778	1680.15740740741	"Temperate forest"
"63"	"Agathis borneensis"	"Agathis"	"Araucariaceae"	"Pinales"	"Gymnosperms"	"W"	-1.91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.383333333333333	NA	NA	NA	NA	2.47649898485323	111.416681864855	25.7642543859649	3008.84210526316	"Tropical rain forest"
"64"	"Agathis lanceolata"	"Agathis"	"Araucariaceae"	"Pinales"	"Gymnosperms"	"W"	NA	NA	-1.27	NA	NA	0.95	0.000176	2.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-18.1388867056924	144.761128048305	21.2344444444444	1863.33333333333	"Tropical forest savanna"
"65"	"Agathis ovata"	"Agathis"	"Araucariaceae"	"Pinales"	"Gymnosperms"	"W"	-1.77	NA	NA	NA	NA	0.796	NA	NA	NA	NA	NA	NA	NA	NA	0.559	NA	NA	25	NA	-21.9950960571334	166.416684733258	21.2453125	1793.3125	"Tropical forest savanna"
"66"	"Aglaia glabrata"	"Aglaia"	"Meliaceae"	"Sapindales"	"Angiosperms"	"W"	-0.71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.6250032661025	110.583348488061	25.6270833333333	2754.5	"Tropical rain forest"
"67"	"Agropyron desertorum"	"Agropyron"	"Poaceae"	"Poales"	"Angiosperms"	"nW"	NA	NA	-4.60103	-4.08057	NA	NA	NA	NA	-27.897	8.92883013570488	NA	NA	NA	NA	NA	23.2866666666667	0.260803109844673	0.6096	0.254	42.8653899801573	-38.9884541843181	6.34410256410256	461.276923076923	"Mediterranean"
"68"	"Aidia canthioides"	"Aidia"	"Rubiaceae"	"Gentianales"	"Angiosperms"	"W"	-1.95	NA	NA	NA	-1.2996	0.452331049	3.63e-05	0.765134564	NA	14.46850679	NA	NA	NA	NA	0.787112493	NA	NA	12	NA	23.6871112828006	115.290895903384	21.1977987421384	1930.84905660377	"Tropical forest savanna"
"69"	"Alangium chinense"	"Alangium"	"Cornaceae"	"Cornales"	"Angiosperms"	"W"	-0.945	NA	NA	NA	NA	6.05	0.000554	NA	NA	19.4728320382574	NA	NA	NA	NA	0.388902125	25.6328636363636	0.13163397900215	24	NA	24.2487124041869	98.6647432153102	16.7313255613126	1427.10621761658	"Temperate forest"
"70"	"Alberta magna"	"Alberta"	"Rubiaceae"	"Gentianales"	"Angiosperms"	"W"	-2.713337906	NA	NA	NA	-1.885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-31.1798230583353	59.2851001986802	17.2578947368421	1041.21052631579	"Mediterranean"
"71"	"Albizia julibrissin"	"Albizia"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	-0.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30.3	NA	7.62	0.762	31.2688914398971	9.56975806419	14.8728959575878	1240.02385685885	"Temperate forest"
"72"	"Albizia niopoides"	"Albizia"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	0.211725463334917	-29.21181598	9.044673	NA	NA	NA	NA	0.602623682017423	28.64693	0.316727094500818	40	NA	-6.23457608088883	-67.3075267443644	23.7924404761905	1473.25357142857	"Tropical forest savanna"
"73"	"Alchornea davidii"	"Alchornea"	"Euphorbiaceae"	"Malpighiales"	"Angiosperms"	"W"	-0.9	NA	NA	NA	-1.5594	4.490733917	0.000440032	0.971440468	NA	22.20494791	NA	NA	NA	NA	0.491085786	NA	NA	2	NA	29.9047665935949	110.583348488061	14.9416666666667	1166.47619047619	"Temperate forest"
"74"	"Alchornea glandulosa"	"Alchornea"	"Euphorbiaceae"	"Malpighiales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	1.99828323825588	-29.034517625	12.7535275326087	NA	NA	NA	NA	0.385985557209434	33.5350575	0.26294730939543	16	NA	-9.570405533194	-65.0343477457188	21.4569897959184	2030.65714285714	"Tropical forest savanna"
"75"	"Alchornea trewioides"	"Alchornea"	"Euphorbiaceae"	"Malpighiales"	"Angiosperms"	"W"	-0.55	NA	NA	NA	NA	3.25	0.000251	NA	NA	19.2625797682467	NA	NA	NA	NA	NA	23.9204099821747	0.124180718626309	2	NA	22.1437951337457	106.457531279424	19.8744281045752	1565.79411764706	"Tropical forest savanna"
"76"	"Aldina kunhardtiana"	"Aldina"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	8.95638481898124	-32.6146395714286	8.38712649041997	NA	NA	NA	NA	0.525131643164066	21.2584658333333	0.253465425346993	29.61026669	NA	3.53571759931357	-67.0118988692617	26.2333333333333	2956.42857142857	"Tropical rain forest"
"77"	"Aleurites moluccanus"	"Aleurites"	"Euphorbiaceae"	"Malpighiales"	"Angiosperms"	"W"	-1.64	NA	NA	NA	-1.97	3.57	0.000427	NA	NA	NA	NA	NA	NA	NA	0.52	NA	NA	NA	NA	-1.75654718075057	44.8358923662815	22.6756944444444	1756.67873303167	"Tropical forest savanna"
"78"	"Allocasuarina campestris"	"Allocasuarina"	"Casuarinaceae"	"Fagales"	"Angiosperms"	"W"	-2.96	-4.04	-7	-6.5	NA	1.0983582	0.000367802	3.348650768	NA	1.6601	NA	NA	NA	NA	1.0073	NA	NA	4	NA	-30.9289909811705	117.238225576825	17.8635752688172	384.835483870968	"Desert"
"79"	"Allocasuarina humilis"	"Allocasuarina"	"Casuarinaceae"	"Fagales"	"Angiosperms"	"W"	NA	NA	-5.6333	-4.666666667	NA	0.703665763	0.000313236	4.451493108	NA	1.3556	NA	NA	NA	NA	1.1834	5.2	0.383593980525229	1	NA	-32.6198767558671	117.779915862275	16.85	587.163333333333	"Mediterranean"
